AREA,AREA_NAME,MSA_totalemployment,teleworkable_emp,teleworkable_wage
10180,"Abilene, TX",53310,.32867125,.3575404
10380,"Aguadilla-Isabela, PR",33890,.385304,.36309057
10420,"Akron, OH",312930,.36687246,.44169754
10500,"Albany, GA",48990,.31485352,.36687845
10540,"Albany, OR",36950,.27380314,.29124367
10580,"Albany-Schenectady-Troy, NY",438880,.424283,.49190852
10740,"Albuquerque, NM",366160,.35720241,.44349107
10780,"Alexandria, LA",52170,.30110911,.33358815
10900,"Allentown-Bethlehem-Easton, PA-NJ",351410,.32324323,.38200048
11020,"Altoona, PA",50980,.28467274,.32292062
11100,"Amarillo, TX",100210,.32019514,.36323431
11180,"Ames, IA",34100,.36483634,.45461854
11260,"Anchorage, AK",159180,.37114996,.44523495
11460,"Ann Arbor, MI",200490,.4488267,.4869498
11500,"Anniston-Oxford-Jacksonville, AL",34820,.24739432,.283943
11540,"Appleton, WI",113050,.32069758,.38529652
11640,"Arecibo, PR",20140,.30338928,.285905
11700,"Asheville, NC",185720,.27794152,.31634319
12020,"Athens-Clarke County, GA",75790,.34712631,.40519637
12060,"Atlanta-Sandy Springs-Roswell, GA",2610250,.40385821,.53915775
12100,"Atlantic City-Hammonton, NJ",116320,.31230041,.36562926
12220,"Auburn-Opelika, AL",47630,.28019658,.33848035
12260,"Augusta-Richmond County, GA-SC",208130,.30150679,.35787222
12420,"Austin-Round Rock, TX",994440,.45512399,.57666129
12540,"Bakersfield, CA",292910,.29072604,.35714224
12580,"Baltimore-Columbia-Towson, MD",1332380,.4155007,.52644682
12940,"Baton Rouge, LA",370970,.30453247,.35679933
12980,"Battle Creek, MI",44870,.29806584,.35238397
13020,"Bay City, MI",25920,.26032704,.29734078
13140,"Beaumont-Port Arthur, TX",145880,.30156973,.33036759
13220,"Beckley, WV",34180,.2378965,.29383785
13380,"Bellingham, WA",76820,.33680251,.37612796
13460,"Bend-Redmond, OR",75070,.33221695,.3842653
13740,"Billings, MT",76350,.33685398,.37885228
13780,"Binghamton, NY",90090,.34981284,.39644367
13820,"Birmingham-Hoover, AL",491560,.34709781,.44548419
13900,"Bismarck, ND",62430,.37784684,.42710263
13980,"Blacksburg-Christiansburg-Radford, VA",57840,.29663071,.35563603
14010,"Bloomington, IL",63970,.39406082,.45647529
14020,"Bloomington, IN",52800,.31074828,.39239019
14100,"Bloomsburg-Berwick, PA",30790,.30329797,.33067557
14260,"Boise City, ID",305530,.36559424,.43833736
14500,"Boulder, CO",170810,.48474351,.61478943
14540,"Bowling Green, KY",62300,.28206563,.32558066
14740,"Bremerton-Silverdale, WA",79710,.31175879,.34425002
15180,"Brownsville-Harlingen, TX",126950,.30608734,.31644228
15260,"Brunswick, GA",35080,.29583165,.37680805
15380,"Buffalo-Cheektowaga-Niagara Falls, NY",534660,.37684783,.43951178
15500,"Burlington, NC",51480,.24157783,.32238665
15680,"California-Lexington Park, MD",37520,.51891726,.68906873
15940,"Canton-Massillon, OH",155660,.30344361,.33738163
15980,"Cape Coral-Fort Myers, FL",251400,.28104809,.34265724
16020,"Cape Girardeau, MO-IL",34460,.29438105,.34754267
16060,"Carbondale-Marion, IL",40880,.33472568,.34047267
16180,"Carson City, NV",21790,.37266412,.46918952
16220,"Casper, WY",30990,.27477163,.35980937
16300,"Cedar Rapids, IA",129050,.38302651,.47254372
16540,"Chambersburg-Waynesboro, PA",51420,.26416573,.30643332
16580,"Champaign-Urbana, IL",84480,.38203219,.43962622
16620,"Charleston, WV",100840,.36730754,.4355419
16700,"Charleston-North Charleston, SC",329170,.33705798,.40912122
16740,"Charlotte-Concord-Gastonia, NC-SC",1195610,.37868536,.5115307
16820,"Charlottesville, VA",98320,.37483799,.47524747
16860,"Chattanooga, TN-GA",231770,.31837744,.39439443
16940,"Cheyenne, WY",37200,.3659654,.43445104
16980,"Chicago-Naperville-Elgin, IL-IN-WI",4558640,.39180052,.49589816
17020,"Chico, CA",70940,.31886956,.34933722
17140,"Cincinnati, OH-KY-IN",1051540,.36198092,.45618263
17300,"Clarksville, TN-KY",76920,.29801679,.34227738
17420,"Cleveland, TN",28640,.31311727,.36334869
17460,"Cleveland-Elyria, OH",1011100,.3654854,.44317737
17660,"Coeur d'Alene, ID",53960,.29955557,.34314916
17780,"College Station-Bryan, TX",97180,.42090797,.45651954
17820,"Colorado Springs, CO",264690,.40308225,.50151491
17860,"Columbia, MO",79960,.33865142,.40644845
17900,"Columbia, SC",363540,.36856678,.44911692
17980,"Columbus, GA-AL",98810,.3517563,.45372504
18020,"Columbus, IN",37890,.26334548,.3350988
18140,"Columbus, OH",1021250,.3954353,.49789947
18580,"Corpus Christi, TX",172330,.31022996,.34816521
18700,"Corvallis, OR",27430,.39926612,.48938054
18880,"Crestview-Fort Walton Beach-Destin, FL",102410,.32572564,.43272468
19060,"Cumberland, MD-WV",29120,.27051818,.30537957
19100,"Dallas-Fort Worth-Arlington, TX",3513010,.39693448,.51277018
19140,"Dalton, GA",57140,.21352957,.29899439
19180,"Danville, IL",19750,.3065508,.31886387
19300,"Daphne-Fairhope-Foley, AL",63090,.23174872,.28769019
19340,"Davenport-Moline-Rock Island, IA-IL",173830,.34956712,.42770651
19380,"Dayton, OH",364950,.36237553,.44293746
19460,"Decatur, AL",42750,.24281776,.30145735
19500,"Decatur, IL",37710,.2963607,.3421002
19660,"Deltona-Daytona Beach-Ormond Beach, FL",180720,.31015232,.35761163
19740,"Denver-Aurora-Lakewood, CO",1449560,.42583242,.54984295
19780,"Des Moines-West Des Moines, IA",350590,.42664063,.53014994
19820,"Detroit-Warren-Dearborn, MI",1921310,.35065165,.44599846
20020,"Dothan, AL",47310,.24625178,.29699299
20100,"Dover, DE",51090,.30486917,.37138954
20220,"Dubuque, IA",49820,.34789139,.39925113
20260,"Duluth, MN-WI",118880,.30951229,.347123
20500,"Durham-Chapel Hill, NC",292440,.45957696,.57052588
20700,"East Stroudsburg, PA",45420,.28013471,.30281478
20740,"Eau Claire, WI",73280,.30554214,.35095063
20940,"El Centro, CA",48830,.28689581,.32677534
21060,"Elizabethtown-Fort Knox, KY",47550,.34226704,.40032881
21140,"Elkhart-Goshen, IN",121970,.21630467,.26277831
21300,"Elmira, NY",28730,.24755412,.30761611
21340,"El Paso, TX",291190,.34833768,.38792619
21420,"Enid, OK",18670,.28672192,.32929733
21500,"Erie, PA",111730,.29481268,.33592576
21660,"Eugene, OR",145410,.34138468,.39282721
21780,"Evansville, IN-KY",142750,.28743854,.33877203
21820,"Fairbanks, AK",27710,.37199977,.39965317
22020,"Fargo, ND-MN",128540,.37319818,.4489179
22140,"Farmington, NM",42390,.26555133,.27353746
22180,"Fayetteville, NC",117050,.32274923,.3869625
22220,"Fayetteville-Springdale-Rogers, AR-MO",229770,.36532432,.48063016
22380,"Flagstaff, AZ",49810,.30860171,.38721773
22420,"Flint, MI",123790,.30078515,.34073025
22500,"Florence, SC",78570,.27805755,.33905542
22520,"Florence-Muscle Shoals, AL",44300,.25456104,.28966284
22540,"Fond du Lac, WI",33810,.277311,.35256261
22660,"Fort Collins, CO",145650,.36465126,.43932381
22900,"Fort Smith, AR-OK",99110,.28420717,.34204745
23060,"Fort Wayne, IN",205300,.31005374,.38711464
23420,"Fresno, CA",360320,.31901005,.36268142
23460,"Gadsden, AL",25700,.20780501,.25658065
23540,"Gainesville, FL",113950,.33674473,.40272713
23580,"Gainesville, GA",75830,.2779603,.35922897
23900,"Gettysburg, PA",25990,.24415767,.28459516
24020,"Glens Falls, NY",42950,.31260541,.3201665
24140,"Goldsboro, NC",30880,.24402,.3230302
24220,"Grand Forks, ND-MN",39330,.31076932,.35273299
24260,"Grand Island, NE",32490,.31317815,.3432382
24300,"Grand Junction, CO",52220,.30533361,.34326184
24340,"Grand Rapids-Wyoming, MI",547630,.29494813,.37401992
24420,"Grants Pass, OR",19200,.27741706,.3132793
24500,"Great Falls, MT",27720,.35510203,.37385404
24540,"Greeley, CO",88950,.31712717,.35681316
24580,"Green Bay, WI",165370,.34536955,.40876964
24660,"Greensboro-High Point, NC",352090,.31997371,.40691423
24780,"Greenville, NC",64420,.28743246,.36353299
24860,"Greenville-Anderson-Mauldin, SC",398210,.31149352,.38449478
25020,"Guayama, PR",7600,.27538076,.25191954
25060,"Gulfport-Biloxi-Pascagoula, MS",136520,.29836509,.33133119
25180,"Hagerstown-Martinsburg, MD-WV",93020,.30157906,.35840461
25220,"Hammond, LA",34560,.27938116,.31624508
25260,"Hanford-Corcoran, CA",30850,.29033211,.29712373
25420,"Harrisburg-Carlisle, PA",309070,.38510406,.48745069
25500,"Harrisonburg, VA",53300,.29589379,.3294217
25620,"Hattiesburg, MS",52460,.29468331,.33258033
25860,"Hickory-Lenoir-Morganton, NC",146210,.23653851,.28725985
25940,"Hilton Head Island-Bluffton-Beaufort, SC",69360,.25485301,.31991374
25980,"Hinesville, GA",11670,.30540857,.33450833
26140,"Homosassa Springs, FL",26140,.2568717,.30597329
26300,"Hot Springs, AR",29730,.24058945,.27375662
26380,"Houma-Thibodaux, LA",77210,.26925623,.30297536
26420,"Houston-The Woodlands-Sugar Land, TX",2929630,.37326643,.48016521
26580,"Huntington-Ashland, WV-KY-OH",120570,.28295794,.3069582
26620,"Huntsville, AL",211920,.41486892,.56752485
26820,"Idaho Falls, ID",58120,.34894282,.40118551
26900,"Indianapolis-Carmel-Anderson, IN",1014820,.35959107,.45413646
26980,"Iowa City, IA",74460,.36121973,.42972472
27060,"Ithaca, NY",36740,.41638419,.49601236
27100,"Jackson, MI",45140,.32452288,.42001873
27140,"Jackson, MS",245860,.35386786,.42772666
27180,"Jackson, TN",53800,.30233216,.32931677
27260,"Jacksonville, FL",667730,.36613652,.46043634
27340,"Jacksonville, NC",38530,.25546068,.3171832
27500,"Janesville-Beloit, WI",58350,.30562428,.35030547
27620,"Jefferson City, MO",64340,.40289593,.46687266
27740,"Johnson City, TN",63860,.30309084,.36187345
27780,"Johnstown, PA",43110,.32499018,.36932415
27860,"Jonesboro, AR",47160,.27824724,.31688547
27900,"Joplin, MO",68820,.2768456,.29780418
